Name,Appointed By,Pres Party,Appointed,Died/Retired,Died or Retired?,Retired Party,Length in office,Length between Judge and successor
Levi Woodbury,James K Polk,Democrat,9/20/1845,9/4/1851,Died,Whig,"2,175.00",36
Joseph Story,James Madison,Democratic-Republican,2/3/1812,9/10/1845,Died,Democrat,"12,273.00",10
William Cushing,George Washington,None,2/2/1790,9/13/1810,Died,Democratic-Republican,"7,527.00",508
,,,,,,,,
Ruth Bader Ginsburg,Bill Clinton,Democrat,8/10/1993,9/18/2020,Died,,,
Byron White,John F Kennedy,Democrat,4/12/1962,6/28/1993,Resigned,Democrat,"11,400.00",43
Charles Whittaker,Dwight D Eisenhower,Republican,3/22/1957,3/31/1962,Resigned,Democrat,"1,835.00",12
Stanley Forman Reed,Franklin D Roosevelt,Democrat,1/27/1938,2/25/1957,Resigned,Republican,"6,969.00",25
George Sutherland,Warren Harding,Republican,9/5/1922,1/17/1938,Resigned,Democrat,"5,613.00",10
John Clarke,Woodrow Wilson,Democrat,7/24/1916,9/18/1922,Resigned,Republican,"2,247.00",-13
Charles Hughes,William Taft,Republican,10/10/1910,6/10/1916,Resigned,Democrat,"2,070.00",44
David Brewer,Benjamin Harrison,Republican,12/18/1889,3/28,Died,Republican,"7,404.00",196
Stanley Matthews,James Garfield,Republican,5/17/1881,3/22/1889,Died,Republican,"2,866.00",271
Noah Swayne,Abraham Lincoln,Republican,1/27/1862,1/24/1881,Resigned,Republican,"6,937.00",113
John McLean,Andrew Jackson,Democrat,3/7/1829,4/4/1861,Died,Republican,"11,716.00",298
Robert Trimble,John Q Adams,Democratic-Republican,5/9/1826,8/25/1828,Died,Democrat,839.00,194
Thomas Todd,Thomas Jefferson,Democratic-Republican,3/3/1807,2/7/1826,Died,Democratic-Republican,"6,916.00",91
,,,,,,,,
Clarence Thomas,George HW Bush,Republican,10/23/1991,In Office,In Office,,,
Thurgood Marshall,Lyndon B Johnson,Democrat,8/30/1967,10/1/1991,Resigned,Republican,"8,798.00",22
Tom Clark,Harry Truman,Democrat,8/19/1949,6/12/1967,Resigned,Democrat,"6,506.00",79
Frank Murphy,Franklin D Roosevelt,Democrat,2/5/1940,7/19/1949,Died,Democrat,"3,452.00",31
Pierce Butler,Warren Harding,Republican,12/21/1922,11/16/1939,Died,Democrat,"6,174.00",81
William Day,Theodore Roosevelt,Republican,2/23/1903,11/13/1922,Resigned,Republican,"7,203.00",38
George Shiras Jr,Benjamin Harrison,Republican,7/26/1892,2/23/1903,Resigned,Republican,"3,863.00",0
Joseph Bradley,Ulysses S Grant,Republican,3/21/1870,1/22/1892,Died,Republican,"7,977.00",186
